ambigüedad,n,"ambiguity. Uncertainty of meaning","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
analogía,n,"analogy. A relationship or equivalence between two things often used in explanation","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
antagonista,n,"antagonist. An opponent or enemy","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
antihéroe,n,"antihero. A protagonist who proceeds in an unheroic manner.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
arquetipo,n,"archetype. An original model from which all other similar persons, objects, or concepts derive.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
atmósfera,n,"atmosphere. The mood or feeling in a situation","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
carpe diem,phrase,seize the day,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
desenlace,n,outcome. A result of an event or process,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
fábula,n,fable. A fictitious narrative intended to enforce some useful truth or precept,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
in medias res,adj,beginning in the middle of a story in a book or a film,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
ironía,n,"irony. A statement that may mean something different when taken out of context","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
memento mori,phrase,"Be mindful of death. A reminder of one's mortality","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
